,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
206,3,3,1363726.465135314,57997.55043173558,blink
207,3,2,23727.12067830518,8929.888370561712,blink
208,2,3,35942.007241545034,15483.893563968048,blink
209,3,3,1520351.4291805068,98213.49069506809,blink
210,3,2,750118.6121202218,148861.07383638123,blink
211,3,3,67720.58203747304,26030.563308022964,blink
212,3,3,22007.8733211252,11366.769057122552,blink
213,2,2,661679.0859751755,33535.49983210913,blink
214,2,3,95900.67251286015,33863.3808009394,blink
215,3,3,30505.815937719537,15803.172124989578,blink
216,2,3,576981.076693516,51092.18145469377,blink
217,2,0,68800.09729708334,41983.054258906785,blink
218,3,3,24193.94345489117,10057.294361824483,blink
219,3,2,1144951.4171947816,373497.3464070868,blink
220,2,3,67307.09613177627,11873.115760666115,blink
221,2,2,1299357.4504581704,53225.44144688813,blink
222,3,3,1615722.2421939548,75029.12004228999,blink
223,2,2,743150.3567239017,115910.28401539531,blink
224,2,2,403345.5802101326,52919.02097640164,blink
225,3,2,1385372.624208039,279946.11631677405,blink
226,2,2,911995.8881526784,151585.81286121867,blink
227,2,2,173634.65653423604,17623.733339143262,blink
228,2,2,33866.036823823044,18265.894687454238,blink
229,2,2,791373.6971341394,34159.12019554536,blink
230,2,3,40115.69853701098,17789.014767154087,blink
231,3,3,27116.04209284685,11850.584493090435,blink
232,2,2,1434049.661087974,321609.3810518216,blink
233,2,1,844556.0882751923,175913.82042549728,blink
234,2,2,19194.570628392783,6391.885416277869,blink
235,3,3,1197660.2798745132,135842.3195890626,blink
236,2,2,690849.8749284005,92179.72086984255,blink
237,2,2,877469.7016314329,17323.001673395134,blink
238,3,3,1941887.5653242636,114872.25521937586,blink
239,3,3,18986.126798167625,9402.499641260802,blink
240,3,3,44745.58807986142,18127.07193841803,blink
241,3,2,958082.6882117607,24647.833855424684,blink
242,2,2,454375.63057684305,62558.123512851605,blink
243,3,2,27306.44190836675,13691.73617834148,blink
244,3,2,1302416.7863555439,44072.95281994955,blink
245,3,3,31121.407745735996,15185.13604032588,blink
246,2,2,964762.3090155306,33815.839697867916,blink
247,3,2,34016.906369204175,17736.30610907078,blink
248,2,0,95422.4333353099,91605.3185218203,blink
249,2,2,40684.979624777145,12883.292502879713,blink
250,2,3,24888.038241163136,11090.322699314533,blink
251,4,4,77036.48418386928,30878.910667804656,blink
252,3,2,1281509.7747950857,53293.99986762127,blink
0,1,1,34674.47034187246,9603.351749527244,double_blink
1,4,3,1169712.2498679978,26840.73126152076,double_blink
2,3,2,30557.040702238344,12818.548305956863,double_blink
3,2,2,1439570.8805547461,48174.228790130765,double_blink
4,2,2,1057667.4913272057,28764.090241764934,double_blink
5,1,2,28815.07207056808,10818.760602655428,double_blink
6,3,3,56322.22026829919,16880.268800470574,double_blink
7,3,3,49906.06270669909,11019.156551544143,double_blink
8,3,3,54195.17355148148,20229.59095104782,double_blink
9,3,3,28042.20002571595,11683.297393733315,double_blink
10,3,2,1611396.2072401943,45239.612187133906,double_blink
11,0,3,3327618.5301526072,110009.47196263103,double_blink
12,4,3,17857.81354435564,4007.0886382889466,double_blink
13,2,4,18986.988146478994,5388.437275906188,double_blink
14,4,4,31929.87321868432,13108.873015803874,double_blink
15,2,3,18019.639377224747,5424.209747333326,double_blink
16,3,3,12676.008310416742,3466.9271868582214,double_blink
17,2,3,42554.51313891098,14043.595983540466,double_blink
18,0,0,79251.94003963741,6435.282601710852,double_blink
19,2,2,14433.85841964565,5855.066520084051,double_blink
20,3,3,24308.91602147498,9936.129225329414,double_blink
21,2,2,45567.197413155074,11580.051167637597,double_blink
22,3,3,32207.163761541025,14933.423127243677,double_blink
23,3,3,47306.265579377665,19440.58105187191,double_blink
24,2,2,37037.27540178634,9161.716058428723,double_blink
25,3,2,1500192.1516894305,40174.97257642953,double_blink
26,2,2,22968.403635356837,8234.80931572319,double_blink
27,3,3,25146.149590375917,11394.447666644892,double_blink
28,3,2,44992.07097327741,11542.501082956282,double_blink
29,2,2,69673.62546262018,19240.28797832714,double_blink
30,2,2,83528.93681967742,8464.972145139274,double_blink
31,3,2,24819.39427104776,10837.854227101096,double_blink
32,2,1,43147.154687160146,28610.32120721038,double_blink
33,2,2,92988.19776328071,6146.364632949298,double_blink
34,4,2,11542.522808641663,4434.499766967338,double_blink
35,4,3,37090.35645975367,15739.140348246745,double_blink
36,3,2,733037.8941845484,24847.933969923204,double_blink
37,2,2,160763.73106143714,14081.534130823835,double_blink
38,2,2,39811.0495312143,10079.839437258817,double_blink
39,4,3,27770.28494174096,11696.589625756598,double_blink
40,3,2,1230335.1076552463,22263.135506805564,double_blink
41,1,1,101320.9325410734,28462.245352497615,double_blink
42,2,3,114488.86873402882,7438.197270356583,double_blink
43,2,3,945468.8400633998,15967.81869971825,double_blink
